doc_id,institution,date_year,date_text,genre,name,father,role,context
michigan.apis.1083,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Aeion,Kouttas,,Pareous(?) [- - -];Horos [- - -];Achillas son of Ph [- - -];Pannous [- - -];Aeion son of Kouttas(?)
michigan.apis.1085,michigan,349.0,IVth century A.D.,Documentary; Ostracon,Chairemon,Demetrios,,"On Mesore 7. Has brought Chairemon son of Demetrios for the 14th indiction of the villagers of Karanis, one hundred twenty litrai, 120litrai alone. I, Apouli( ), have sign"
michigan.apis.1087,michigan,249.0,IIIrd century A.D. (December 10/11),Documentary; Ostracon,Aion,Kopres,,Aion son of Kopres. On the twenty-fourth of Choiak.
michigan.apis.1091,michigan,249.0,IIIrd century A.D. (April 18),Documentary; Ostracon,Arios,Ptollas,,"In Pharmouthi, Arios son of Ptollas, on the 23rd, one and a half. I have signed."
michigan.apis.1092,michigan,312.0,312/313[?] A.D.,Documentary; Ostracon,Kopres,Pannous,,"In the granary of Karanis has shifted Kopres son of Pannous to the harbor of Kerke for the crops of the 8th and 6th year, through beasts of Eudaimon, 4 donkeys of barley."
michigan.apis.1094,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Harpalos,Heras,,- -];;[- - -] son of Satabous;;[[ [- - -] son of - - -]];[- - -] son of Hatres;;Harpalos son of Heras;;Sarapion son of Artemidoros;;Kopres & Asklas.;;(In the right margin);;Antonius son of [- - -];;Ka
michigan.apis.1094,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Sarapion,Artemidoros,,tabous;;[[ [- - -] son of - - -]];[- - -] son of Hatres;;Harpalos son of Heras;;Sarapion son of Artemidoros;;Kopres & Asklas.;;(In the right margin);;Antonius son of [- - -];;Kallon son of [- - -]
michigan.apis.1095,michigan,-50.0,Ist century B.C. /Ist century A.D.,Documentary; Ostracon,Petesouchos,Sisois,,"In the 13th year, (has paid) Petesouchos son of Sisois, on Mecheir(?) [- -], (and) on Pachon 7, 2."
michigan.apis.1099,michigan,249.0,(Middle/late) IIIrd century A.D. (Februa,Documentary; Ostracon,Seuthes,Ptolemaios,,", of the horiodeiktia of Karanis, for the crops of the 1st year, in the name of Seuthes son of Ptolemaios, . . ., fifteen sacks."
michigan.apis.1104,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Apphas,Arios,,"son of A[- - -];. . .utemis, hippeus, [- -] artabai;Valerius Agonias 50 artabai;Apphas son of Arios 15 artabai;Horion son of Hexas 40 artabai;Komon 18 artabai;Palemon 11 (artabai?);Aion son of Demas ["
michigan.apis.1104,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Horion,Hexas,,"ppeus, [- -] artabai;Valerius Agonias 50 artabai;Apphas son of Arios 15 artabai;Horion son of Hexas 40 artabai;Komon 18 artabai;Palemon 11 (artabai?);Aion son of Demas [- - -];. . ."
michigan.apis.1104,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Aion,Demas,,5 artabai;Horion son of Hexas 40 artabai;Komon 18 artabai;Palemon 11 (artabai?);Aion son of Demas [- - -];. . .
michigan.apis.1106,michigan,,"February 24, 295 A.D.",Documentary; Ostracon,Seuthes,Ptolemaios,,"Karanis, of the crops of the 10th and 9th and 2nd year, through his own beasts, Seuthes son of Ptolemaios, four donkeys, equal 4donkeys. In the 11th and 10th and 3rd year, on Mecheir 30."
michigan.apis.1109,michigan,349.0,(Early) IVth century A.D. (September 6/7,Documentary; Ostracon,Paesis,Demetrios,,"On Thoth 9, has brought Paesis son of Demetrios, for the villagers of Karanis, of the third indiction, one-hundred and twenty litrai of chaff, 120 litrai, only. Ourani"
michigan.apis.1114,michigan,,"April 27, 301 A.D.",Documentary; Ostracon,Pannous,Seuthes,,"lage of Karanis, of the crops of the 16th and 15th and 8th year, in the name of Pannous son of Seuthes, four donkeys, 4 donkeys. In the 17th and 16th and 9th year, on Pachon 2."
michigan.apis.1118,michigan,249.0,IIIrd century A.D. (June 23),Documentary; Ostracon,Soterichos,Antonas,,"On Pauni 29, Soterichos son of Antonas, of Karanis, (has given his part). I have signed."
michigan.apis.1119,michigan,249.0,IIIrd century A.D.,Documentary; Ostracon,Horion,Abous,,"Of Arsinoe, Horion son of Abous, five sacks, equal 5 sacks."
michigan.apis.1121,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Heron,Heron,,Heron son of Heron(?);Ptollemes son of Dioskoros;Melas [son of - - -];Ounaphris son of Aionis;Paulos son of . . .;Serapammon [- - -];Chere
